phase,freq_mhz,input_len,burst_size,rep,send_mono_s,status,error,ttft_ms,tpot_ms,tokens,latency_ms,rank,burst_energy_j,burst_duration_ms
bursts_k1,2520,1024,8,4,1867851.363670896,ok,,464.01890786364675,,1,464.04888201504946,5,187.635,610.7335998676717
bursts_k1,2520,1024,8,4,1867851.363898586,ok,,608.8537040632218,,1,608.8944058865309,6,187.635,610.7335998676717
bursts_k1,2520,1024,8,4,1867851.364126832,ok,,608.4634319413453,,1,608.5308738984168,7,187.635,610.7335998676717
bursts_k1,2520,2048,1,2,1867852.494696533,ok,,155.67391086369753,,1,155.76373087242246,0,33.03,156.17508487775922
bursts_k1,2520,2048,4,0,1867853.177294211,ok,,316.4964329916984,,1,316.5399129502475,0,226.91,626.6411039978266
bursts_k1,2520,2048,4,0,1867853.177882165,ok,,315.7511460594833,,1,315.82150305621326,1,226.91,626.6411039978266
bursts_k1,2520,2048,4,0,1867853.178365329,ok,,625.1920789945871,,1,625.2612960524857,2,226.91,626.6411039978266
bursts_k1,2520,2048,4,0,1867853.178769056,ok,,624.9360151123255,,1,624.9751111026853,3,226.91,626.6411039978266
bursts_k1,2520,2048,2,2,1867854.330801937,ok,,317.30131804943085,,1,317.34367506578565,0,93.618,317.528388928622
bursts_k1,2520,2048,2,2,1867854.331461426,ok,,316.4621328469366,,1,316.5324449073523,1,93.618,317.528388928622
bursts_k1,2520,1024,8,1,1867855.174287558,ok,,323.6302100121975,,1,323.6606928985566,0,223.369,627.2462750785053
bursts_k1,2520,1024,8,1,1867855.174720859,ok,,322.9887471534312,,1,323.0401501059532,1,223.369,627.2462750785053
bursts_k1,2520,1024,8,1,1867855.175045062,ok,,322.3004068713635,,1,322.36904581077397,2,223.369,627.2462750785053
bursts_k1,2520,1024,8,1,1867855.175334236,ok,,322.5000142119825,,1,322.5351981818676,3,223.369,627.2462750785053
bursts_k1,2520,1024,8,1,1867855.175597654,ok,,625.1220789272338,,1,625.1898880582303,4,223.369,627.2462750785053
bursts_k1,2520,1024,8,1,1867855.175841291,ok,,625.3744079731405,,1,625.4084969405085,5,223.369,627.2462750785053
bursts_k1,2520,1024,8,1,1867855.176084124,ok,,625.0162709038705,,1,625.0616849865764,6,223.369,627.2462750785053
